Name;Einwohner;Arbeitsstätten;Beschäftigte;Alter;Einkommen;Erbwerbstätige (15-64);Grundstückspreise;Anzahl an Ehepaaren;Anzahl der Kinder
Oberkappel;713;63;162;41.95;35.094;361;19.7;145;1.84
Rettenegg;713;83;245;47.34;35.853;340;26.2;157;1.58
Auerbach;718;58;119;39.47;39.729;335;72.7;128;1.62
Fraxern;719;55;82;39.28;46.805;361;319.4;165;1.75
Niederndorferberg;720;58;128;39.99;33.802;374;212.4;151;1.93
Moorbad Harbach;721;83;639;44.64;36.682;353;15;152;1.79
Sankt Margarethen im Lungau;721;79;393;41.86;38.601;386;90.8;142;1.66
Dienten am Hochkönig;721;93;242;44.51;34.826;353;397.8;148;1.71
Hainzenberg;723;57;108;41.45;34.905;341;171;155;1.8
Kirchheim im Innkreis;724;84;240;42.86;37.424;399;27.6;155;1.7
Bad Schönau;727;94;932;44.85;36.175;337;41.3;154;1.77
Treubach;737;76;187;42.11;36.581;388;38.2;152;1.63
Bachmanning;739;63;206;40.58;39.369;338;54.6;156;1.81
Obertraun;743;62;290;47.96;35.951;355;107.9;154;1.46
Heiligenbrunn;744;65;132;50.03;39.701;320;11.9;179;1.62
St. Nikola an der Donau;744;75;147;43.27;37.305;358;45.2;148;1.71
Alberndorf im Pulkautal;745;54;117;45.89;38.676;348;12.5;154;1.53
Hannersdorf;746;55;197;49.63;41.640;334;7.8;164;1.53
Hallstatt;746;111;528;47.93;39.784;352;107.9;150;1.51
Außervillgraten;746;86;226;45.03;31.208;361;69.7;172;1.89
Schachendorf;747;70;159;46.98;44.168;317;15;165;1.73
Altlichtenwarth;750;62;132;47.26;39.535;348;20;181;1.63
Krumau am Kamp;753;73;126;49.25;38.371;330;25;164;1.68
Jabing;754;44;76;47.47;39.508;346;12.6;178;1.55
Fusch an der Großglocknerstraße;759;78;179;41.87;36.277;339;141.1;157;1.67
Kartitsch;759;91;174;46.6;36.873;323;69.7;156;1.85
Tösens;762;40;80;40.12;35.671;357;108.6;153;1.74
Velm-Götzendorf;765;59;112;46.64;40.585;344;32.2;183;1.61
Brand;766;98;403;42.82;42.108;359;251.1;130;1.53
Pöttelsdorf;767;129;713;44.87;44.691;378;63.6;158;1.51
Mallnitz;767;97;253;50.35;43.284;290;46.8;159;1.45
Schönbach;767;124;408;45.06;36.328;438;15.7;178;1.82
Galtür;767;119;269;43.02;42.637;321;316.3;165;1.66
Antau;768;76;201;45.27;42.528;389;56.8;176;1.57
Weißensee;771;145;352;47.54;39.469;296;319.1;161;1.62
Bichlbach;772;68;136;44.83;38.107;361;139.3;161;1.53
Sankt Andrä im Lungau;774;58;152;43.71;37.246;373;78.9;163;1.67
Rauchenwarth;775;75;201;40.57;44.496;418;181.4;151;1.58
Rußbach am Paß Gschütt;775;74;225;44.41;35.684;385;129.1;169;1.62
Wattenberg;776;72;164;40.94;43.495;430;215.6;156;1.74
Königsdorf;778;57;149;46.61;37.963;328;11;166;1.54
Göming;778;86;351;40.24;43.152;430;200;159;1.71
Senftenbach;781;63;197;42.36;38.603;431;40.7;167;1.69
Edelstal;782;52;449;44.21;43.497;297;143.4;168;1.54
Andrichsfurt;783;84;241;39.41;35.734;441;39.7;136;1.73
Pians;783;59;371;42.63;42.422;370;161;196;1.63
Ossiach;788;85;242;46.44;44.547;326;87.1;138;1.56
Manning;789;52;88;42.97;40.356;417;65.6;180;1.89
Oberloisdorf;792;40;107;45.4;39.571;413;20.5;180;1.53
Diex;793;118;233;44.89;41.038;384;38.8;124;1.68
Imsterberg;794;40;171;38.95;39.741;442;122.2;180;1.82
Goldwörth;797;67;190;45.01;46.995;461;102.3;205;1.57
Strassen;797;64;258;42.87;37.944;409;101.6;159;1.78
St. Jakob in Haus;799;68;175;41.66;37.814;409;298.4;152;1.85
Altenburg;801;64;183;43.62;37.150;403;32.3;167;1.86
Altenmarkt bei Sankt Gallen;801;51;690;47;42.498;385;47.7;170;1.47
Fallbach;802;83;250;47.45;39.717;408;13.7;194;1.79
Neustift an der Lafnitz;804;60;141;41.29;40.639;418;31.4;158;1.62
Gerlos;805;162;457;42.69;37.793;319;171;152;1.6
Bildstein;806;77;115;41.76;48.562;435;334.4;170;1.69
Kleinarl;808;102;253;42.19;38.981;362;251.4;182;1.64
Schnifis;808;61;182;40.55;40.179;422;275.6;160;1.79
Sankt Martin am Wöllmißberg;811;77;142;44.66;37.561;409;53.4;163;1.56
Bocksdorf;815;43;121;46.32;35.877;368;13.9;167;1.47
Glödnitz;815;91;223;47.74;39.256;370;28.7;155;1.47
Vorderstoder;819;99;233;44.86;36.895;408;80.1;162;1.65
Ehenbichl;821;60;781;47.43;44.526;401;131.3;162;1.58
Stotzing;823;43;75;42.64;40.122;420;68.3;181;1.62
Mörtschach;826;72;145;41.61;36.498;421;46.8;142;1.65
Sigharting;826;86;448;41.94;37.863;454;31.8;178;1.77
Gnadenwald;826;83;224;41.35;45.196;461;315.9;175;1.66
Dürnstein;828;144;582;47.99;46.997;415;99.3;196;1.66
St. Jakob in Defereggen;829;119;273;45.52;38.085;308;93.1;185;1.7
Weiden bei Rechnitz;831;67;113;49.4;38.313;340;16.7;171;1.7
Ramsau;831;94;322;45.04;36.127;445;46.3;162;1.63
Schrattenberg;834;67;177;47.44;36.968;339;22.5;193;1.56
Kolsassberg;834;67;126;41.62;42.240;455;215.6;169;1.61
Hohenthurn;838;89;236;45.88;45.893;397;26.9;173;1.54
Lutzmannsburg;842;112;609;49.13;41.283;402;20.5;191;1.51
Krimml;842;119;310;43.13;36.930;384;157.9;180;1.67
Brunn an der Wild;844;104;387;44.53;35.017;434;13.5;193;1.58
Stössing;844;117;260;42.53;38.130;449;58.6;170;1.68
Rosenburg-Mold;847;113;378;45.19;39.222;394;18.7;167;1.5
Silbertal;850;52;130;41.74;43.780;450;136.8;177;1.73
Stummerberg;851;67;112;42.19;33.339;410;171;182;1.7
Grafenschlag;853;121;375;43.69;35.131;473;18.5;186;1.7
Kleinzell;854;108;283;44.62;35.883;414;46.3;171;1.8
Altmelon;855;99;210;43.65;35.516;457;15.7;202;1.63
Piringsdorf;857;53;124;45.39;39.519;393;17.7;183;1.56
Sankt Georgen ob Judenburg;859;73;209;47.22;37.210;424;30.4;177;1.61
Wendling;860;88;146;40.05;38.767;479;34;190;1.82
Strass im Zillertal;860;109;870;41.59;39.356;468;293.6;167;1.69
Meiseldorf;861;72;162;46.08;41.091;445;18.7;194;1.77
Furth an der Triesting;865;86;168;42.68;40.343;471;105.7;189;1.74
Michelbach;865;104;176;42.67;35.931;505;58.6;180;1.73
Steinbach am Ziehberg;866;77;160;42.13;34.467;440;64.4;180;1.78
Hausbrunn;871;49;115;48.04;40.448;385;20;205;1.46
Strem;872;95;233;53.38;39.181;365;11.9;202;1.51
Gaimberg;872;85;231;43.64;42.906;417;220.9;180;1.67
Gaubitsch;873;65;150;43.45;40.652;494;13.7;210;1.72
Opponitz;875;81;197;42.73;37.563;469;40.3;193;1.84
Niederleis;875;65;143;44.01;41.074;469;30.6;180;1.6
Schwendt;877;74;164;43.1;36.678;447;270.8;178;1.63
Raggal;877;76;175;40.69;39.580;436;159;184;1.9
Eitzing;878;59;231;40.37;37.344;436;39.7;164;1.67
Deutsch-Griffen;881;85;183;47.99;37.582;362;28.7;162;1.58
Mühlen;881;101;195;45.07;37.878;423;34;191;1.65
Güttenbach;883;77;262;50.57;41.630;405;10.9;193;1.52
Gasen;883;108;315;43.48;34.294;443;31.9;203;1.83
Elbigenalp;884;96;443;41.89;38.283;425;68.4;187;1.64
Baumgarten;885;62;196;47.58;45.002;397;55.2;185;1.6
Krispl;885;112;220;42.37;41.766;463;167;187;1.72
Schmirn;885;46;75;41.62;36.972;471;101.4;208;1.82
Nikolsdorf;887;82;238;43.59;36.093;441;71.1;172;1.71
Edlitz;889;98;270;44.63;39.503;469;51;183;1.64
Höflein an der Hohen Wand;889;79;182;46.24;43.833;441;64.3;183;1.47
Markgrafneusiedl;892;81;512;44.45;40.711;483;125.3;188;1.52
Roßbach;893;83;248;44.3;37.605;499;38.2;187;1.62
Schrattenthal;894;104;189;45.78;37.956;415;13.4;170;1.62
Ritzing;899;69;181;49.43;44.703;368;22.2;212;1.56
Eltendorf;901;91;222;50.07;37.879;438;11;207;1.43
Hinterstoder;902;159;535;50.24;41.433;421;80.1;171;1.48
Raiding;903;53;232;48.9;40.773;368;14.6;190;1.59
Ebenthal;903;50;103;43.67;43.357;451;32.2;200;1.63
Ludweis-Aigen;903;111;185;46.84;36.182;423;14.1;181;1.64
Steinbach am Attersee;904;108;363;45.84;46.970;414;328.7;162;1.76
Stratzing;906;72;163;43.73;48.040;475;94.6;197;1.55
St. Marienkirchen am Hausruck;906;80;213;39.58;39.946;481;36.1;186;1.71
Pölla;909;109;246;46.58;33.487;434;13.5;185;1.52
Engelhartszell;909;105;558;48.77;37.677;429;19.2;173;1.65
Windigsteig;912;82;218;46.49;37.145;479;14.1;202;1.66
Hüttschlag;912;71;205;41.87;33.358;471;251.4;206;1.77
Innervillgraten;912;102;250;41.58;29.107;478;69.7;175;2.3
Schwarzenbach;913;87;210;46.41;38.681;469;36.9;200;1.5
Berg;914;67;132;42.28;43.774;314;134.8;187;1.61
St. Thomas am Blasenstein;917;104;258;41.74;36.533;500;29.7;207;2.02
Matrei am Brenner;918;90;372;43.95;35.140;488;148.9;177;1.58
Maria Laach am Jauerling;919;122;354;45.08;38.333;468;38.3;202;1.57
Maria Taferl;919;67;206;41.64;39.257;472;31.1;194;1.73
Neuhaus am Klausenbach;920;95;217;47.58;37.493;418;10.8;168;1.53
Ollersdorf im Burgenland;921;75;195;48.89;39.335;467;14.1;179;1.4
Haibach im Mühlkreis;921;81;122;42.14;45.936;498;63.1;212;1.71
Ainet;921;70;295;42.36;36.194;485;76.8;182;1.69
Pfaffenschlag bei Waidhofen a.d.Thaya;923;93;298;45.07;37.334;462;13.6;187;1.73
Eberau;928;81;236;49.79;40.141;362;11.9;221;1.6
Schöder;933;86;174;45.88;40.668;451;31.3;206;1.65
Tollet;934;72;273;42.86;41.422;517;75.8;205;1.66
Preitenegg;935;106;362;46.85;37.133;436;35.4;181;1.61
Großriedenthal;940;114;242;44.46;38.503;482;37.2;211;1.54
Schoppernau;942;112;329;41.62;39.001;452;222.5;200;1.94
Wängle;943;48;96;44.5;47.790;478;143.8;196;1.6
Jerzens;944;84;273;41.9;39.413;455;122.2;190;1.54
Hohenruppersdorf;945;84;210;44.24;42.038;466;31.4;205;1.67
Herrnbaumgarten;946;72;201;46.29;43.349;443;17;222;1.71
Pennewang;946;104;209;40.53;45.943;517;73.4;200;1.79
Au am Leithaberge;951;77;217;45.41;40.800;498;73.5;219;1.57
Klam;951;59;119;40.26;40.607;543;44.7;196;1.81
Kalwang;951;60;515;48.33;42.435;438;28.5;193;1.65
Aistersheim;953;80;216;39.92;39.750;506;52.6;189;1.78
Vordernberg;953;68;315;51.95;39.153;371;28.5;204;1.47
Weißenkirchen im Attergau;956;103;290;42.3;37.383;513;57;224;1.83
Unterwart;959;96;702;43.99;37.874;432;31.4;195;1.68
Arnfels;961;103;469;46.19;37.370;442;25.1;172;1.56
Schönbühel-Aggsbach;962;73;164;47.04;42.873;505;42.8;201;1.55
Neukirchen bei Lambach;964;72;223;40.91;43.986;487;79.3;216;1.65
Dimbach;965;135;311;42.91;34.191;517;24.1;222;1.89
Albeck;966;113;275;46.11;35.953;449;63.9;166;1.59
Neuberg im Burgenland;968;49;87;48.1;38.555;477;10.9;226;1.47
Fornach;969;75;294;39.86;41.106;551;54.3;214;1.8
Klein-Neusiedl;970;53;237;43.09;41.379;431;115.5;179;1.55
Pollham;973;87;139;41.66;41.656;561;46.9;211;1.77
Heiligenblut am Großglockner;975;140;353;46.08;36.345;393;46.8;187;1.61
Niederkappel;980;74;265;42.94;38.650;501;26.5;208;1.79
Seefeld-Kadolz;982;58;172;48.47;37.254;379;12.5;206;1.48
Wildermieming;982;80;250;41.64;42.265;508;231.4;188;1.81
Willendorf;983;80;225;44.66;43.656;534;64.3;202;1.54
Weiden an der March;985;123;322;44.93;40.426;499;75.7;212;1.67
Sankt Michael im Burgenland;987;102;399;49.52;41.690;438;13.9;204;1.51
